section,object_name,details
03_TABLE,public.processing_method_translations,"{""owner"":""postgres"",""table"":""processing_method_translations"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.processing_methods,"{""owner"":""postgres"",""table"":""processing_methods"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.profiles,"{""owner"":""postgres"",""table"":""profiles"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.region_translations,"{""owner"":""postgres"",""table"":""region_translations"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.regions,"{""owner"":""postgres"",""table"":""regions"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.sensory_note_translations,"{""owner"":""postgres"",""table"":""sensory_note_translations"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.sensory_notes,"{""owner"":""postgres"",""table"":""sensory_notes"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.site_page_section_translations,"{""owner"":""postgres"",""table"":""site_page_section_translations"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.site_page_sections,"{""owner"":""postgres"",""table"":""site_page_sections"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.site_page_translations,"{""owner"":""postgres"",""table"":""site_page_translations"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.site_pages,"{""owner"":""postgres"",""table"":""site_pages"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.site_settings,"{""owner"":""postgres"",""table"":""site_settings"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.site_settings_translations,"{""owner"":""postgres"",""table"":""site_settings_translations"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.tag_translations,"{""owner"":""postgres"",""table"":""tag_translations"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.tags,"{""owner"":""postgres"",""table"":""tags"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.varieties,"{""owner"":""postgres"",""table"":""varieties"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.warehouse_translations,"{""owner"":""postgres"",""table"":""warehouse_translations"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.warehouses,"{""owner"":""postgres"",""table"":""warehouses"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,storage.buckets,"{""owner"":""supabase_storage_admin"",""table"":""buckets"",""schema"":""storage"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,storage.objects,"{""owner"":""supabase_storage_admin"",""table"":""objects"",""schema"":""storage"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
04_COLUMN,auth.users.aud,"{""table"":""users"",""column"":""aud"",""schema"":""auth"",""default"":null,""nullable"":""YES"",""position"":3,""udt_name"":""varchar"",""data_type"":""character varying"",""max_length"":255,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.banned_until,"{""table"":""users"",""column"":""banned_until"",""schema"":""auth"",""default"":null,""nullable"":""YES"",""position"":30,""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.confirmation_sent_at,"{""table"":""users"",""column"":""confirmation_sent_at"",""schema"":""auth"",""default"":null,""nullable"":""YES"",""position"":10,""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.confirmation_token,"{""table"":""users"",""column"":""confirmation_token"",""schema"":""auth"",""default"":null,""nullable"":""YES"",""position"":9,""udt_name"":""varchar"",""data_type"":""character varying"",""max_length"":255,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.confirmed_at,"{""table"":""users"",""column"":""confirmed_at"",""schema"":""auth"",""default"":null,""nullable"":""YES"",""position"":27,""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""ALWAYS"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":""LEAST(email_confirmed_at, phone_confirmed_at)""}"
04_COLUMN,auth.users.created_at,"{""table"":""users"",""column"":""created_at"",""schema"":""auth"",""default"":null,""nullable"":""YES"",""position"":20,""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.deleted_at,"{""table"":""users"",""column"":""deleted_at"",""schema"":""auth"",""default"":null,""nullable"":""YES"",""position"":34,""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.email,"{""table"":""users"",""column"":""email"",""schema"":""auth"",""default"":null,""nullable"":""YES"",""position"":5,""udt_name"":""varchar"",""data_type"":""character varying"",""max_length"":255,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.email_change,"{""table"":""users"",""column"":""email_change"",""schema"":""auth"",""default"":null,""nullable"":""YES"",""position"":14,""udt_name"":""varchar"",""data_type"":""character varying"",""max_length"":255,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.email_change_confirm_status,"{""table"":""users"",""column"":""email_change_confirm_status"",""schema"":""auth"",""default"":""0"",""nullable"":""YES"",""position"":29,""udt_name"":""int2"",""data_type"":""smallint"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":0,""numeric_precision"":16,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.email_change_sent_at,"{""table"":""users"",""column"":""email_change_sent_at"",""schema"":""auth"",""default"":null,""nullable"":""YES"",""position"":15,""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.email_change_token_current,"{""table"":""users"",""column"":""email_change_token_current"",""schema"":""auth"",""default"":""''::character varying"",""nullable"":""YES"",""position"":28,""udt_name"":""varchar"",""data_type"":""character varying"",""max_length"":255,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.email_change_token_new,"{""table"":""users"",""column"":""email_change_token_new"",""schema"":""auth"",""default"":null,""nullable"":""YES"",""position"":13,""udt_name"":""varchar"",""data_type"":""character varying"",""max_length"":255,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.email_confirmed_at,"{""table"":""users"",""column"":""email_confirmed_at"",""schema"":""auth"",""default"":null,""nullable"":""YES"",""position"":7,""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.encrypted_password,"{""table"":""users"",""column"":""encrypted_password"",""schema"":""auth"",""default"":null,""nullable"":""YES"",""position"":6,""udt_name"":""varchar"",""data_type"":""character varying"",""max_length"":255,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.id,"{""table"":""users"",""column"":""id"",""schema"":""auth"",""default"":null,""nullable"":""NO"",""position"":2,""udt_name"":""uuid"",""data_type"":""uuid"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.instance_id,"{""table"":""users"",""column"":""instance_id"",""schema"":""auth"",""default"":null,""nullable"":""YES"",""position"":1,""udt_name"":""uuid"",""data_type"":""uuid"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.invited_at,"{""table"":""users"",""column"":""invited_at"",""schema"":""auth"",""default"":null,""nullable"":""YES"",""position"":8,""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.is_anonymous,"{""table"":""users"",""column"":""is_anonymous"",""schema"":""auth"",""default"":""false"",""nullable"":""NO"",""position"":35,""udt_name"":""bool"",""data_type"":""boolean"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.is_sso_user,"{""table"":""users"",""column"":""is_sso_user"",""schema"":""auth"",""default"":""false"",""nullable"":""NO"",""position"":33,""udt_name"":""bool"",""data_type"":""boolean"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.is_super_admin,"{""table"":""users"",""column"":""is_super_admin"",""schema"":""auth"",""default"":null,""nullable"":""YES"",""position"":19,""udt_name"":""bool"",""data_type"":""boolean"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.last_sign_in_at,"{""table"":""users"",""column"":""last_sign_in_at"",""schema"":""auth"",""default"":null,""nullable"":""YES"",""position"":16,""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.phone,"{""table"":""users"",""column"":""phone"",""schema"":""auth"",""default"":""NULL::character varying"",""nullable"":""YES"",""position"":22,""udt_name"":""text"",""data_type"":""text"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.phone_change,"{""table"":""users"",""column"":""phone_change"",""schema"":""auth"",""default"":""''::character varying"",""nullable"":""YES"",""position"":24,""udt_name"":""text"",""data_type"":""text"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.phone_change_sent_at,"{""table"":""users"",""column"":""phone_change_sent_at"",""schema"":""auth"",""default"":null,""nullable"":""YES"",""position"":26,""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.phone_change_token,"{""table"":""users"",""column"":""phone_change_token"",""schema"":""auth"",""default"":""''::character varying"",""nullable"":""YES"",""position"":25,""udt_name"":""varchar"",""data_type"":""character varying"",""max_length"":255,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.phone_confirmed_at,"{""table"":""users"",""column"":""phone_confirmed_at"",""schema"":""auth"",""default"":null,""nullable"":""YES"",""position"":23,""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.raw_app_meta_data,"{""table"":""users"",""column"":""raw_app_meta_data"",""schema"":""auth"",""default"":null,""nullable"":""YES"",""position"":17,""udt_name"":""jsonb"",""data_type"":""jsonb"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.raw_user_meta_data,"{""table"":""users"",""column"":""raw_user_meta_data"",""schema"":""auth"",""default"":null,""nullable"":""YES"",""position"":18,""udt_name"":""jsonb"",""data_type"":""jsonb"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
